scene,usgs_shadows,source_url
LC81490432014141LGN00,yes,https://landsat.usgs.gov/node/7
LC81500152013225LGN00,no,https://landsat.usgs.gov/node/7
LC81510262014139LGN00,no,https://landsat.usgs.gov/node/7
LC81550082014263LGN00,no,https://landsat.usgs.gov/node/7
LC81570452014213LGN00,no,https://landsat.usgs.gov/node/7
LC81580172013201LGN00,no,https://landsat.usgs.gov/node/7
LC81590362014051LGN00,no,https://landsat.usgs.gov/node/7
LC81600462013215LGN00,no,https://landsat.usgs.gov/node/7
LC81620432014072LGN00,yes,https://landsat.usgs.gov/node/7
LC81620582014104LGN00,yes,https://landsat.usgs.gov/node/7
LC81640502013179LGN01,yes,https://landsat.usgs.gov/node/7
LC81660032014196LGN00,no,https://landsat.usgs.gov/node/7
LC81660432014020LGN00,no,https://landsat.usgs.gov/node/7
LC81720192013331LGN00,no,https://landsat.usgs.gov/node/7
LC81750432013144LGN00,no,https://landsat.usgs.gov/node/7
LC81750512013208LGN00,yes,https://landsat.usgs.gov/node/7
LC81750622013304LGN00,yes,https://landsat.usgs.gov/node/7
LC81750732014035LGN00,no,https://landsat.usgs.gov/node/7
LC81770262013254LGN00,yes,https://landsat.usgs.gov/node/7
LC81800662014230LGN00,no,https://landsat.usgs.gov/node/7
LC81820302014180LGN00,yes,https://landsat.usgs.gov/node/7
LC81910182013240LGN00,yes,https://landsat.usgs.gov/node/7
LC81920192013103LGN01,no,https://landsat.usgs.gov/node/7
LC81930452013126LGN01,yes,https://landsat.usgs.gov/node/7
LC81940222013245LGN00,no,https://landsat.usgs.gov/node/7
LC81970242013218LGN00,no,https://landsat.usgs.gov/node/7
LC81990402014267LGN00,no,https://landsat.usgs.gov/node/7
LC82001192013335LGN00,no,https://landsat.usgs.gov/node/7
LC82020522013141LGN01,yes,https://landsat.usgs.gov/node/7
LC82150712013152LGN00,yes,https://landsat.usgs.gov/node/7
LC82171112014297LGN00,no,https://landsat.usgs.gov/node/7
LC82271192014287LGN00,no,https://landsat.usgs.gov/node/7
LC82290572014141LGN00,yes,https://landsat.usgs.gov/node/7
LC82310592014139LGN00,no,https://landsat.usgs.gov/node/7
LC82320072014226LGN00,no,https://landsat.usgs.gov/node/7
